year,tempmax,tempmin,temp,precip
2012,20.73087431693988,11.774590163934429,16.031693989071034,2.4359590163934426
2013,18.930136986301356,10.639178082191778,14.594246575342465,3.0540547945205474
2014,18.870410958904113,10.241369863013693,14.37287671232877,2.9684219178082194
2015,19.98465753424658,11.166575342465757,15.315890410958895,3.2852684931506864
2016,20.022131147540993,11.331693989071047,15.405191256830594,2.2627486338797804
2017,20.211780821917838,11.560273972602754,15.689315068493164,2.531695890410959
2018,19.455068493150698,11.244383561643827,15.06602739726027,4.853057534246576
2019,20.13917808219179,11.463561643835616,15.516438356164391,2.940095890410958
2020,20.040983606557397,11.559289617486343,15.563934426229507,4.030150273224047
2021,20.143561643835632,11.354794520547935,15.519178082191775,3.021643835616438
2022,19.753150684931533,10.666027397260262,14.949041095890413,2.6612410958904094
