Year,Avg gross,Min ISBN,Max ISBN,Avg temp
2012,903636781.0,9780316206815,9781612130293,16.212202910641455
2013,912960400.0,9780307588364,9781455520664,14.719232270865334
2014,864071820.75,9780307588388,9781101617281,14.49479550691244
2015,929065062.25,9780062409850,9781455581177,15.478290450588837
2016,947935454.5833334,9780316408998,9781594634024,15.646455629712024
2017,922948960.0,9780316225977,9781455586554,15.857550563236046
2018,991013334.25,9780062834881,9781538761373,15.30525409626216
2019,946946740.75,9780062834898,9781982110567,15.74595974142345
2020,176153900.0,9780062834904,9781984882028,15.771328636756891
2021,373567371.0833333,9780062424037,9781681196282,15.66746543778802
2022,614125457.6666666,9780316258678,9781982181659,15.164005696364569
